figure_type,figure_no,title_name,variable,variable_rename,flip_sign,regions,models,years,scenarios,type,x,y,facet1,facet2,color,page_filter,scales
timeseriesplot,1,Final Energy by Fuel: Fossil,Final Energy|Coal,Coal,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,1,Final Energy by Fuel: Fossil,Final Energy|Gas,Gas,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,1,Final Energy by Fuel: Fossil,Final Energy|Oil,Oil,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy|Buildings,Buildings,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy|Industry,Industry,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy|Transportation,Transportation,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,3,Energy-Related CO2 Emissions,Emissions|CO2|Energy,Energy CO2 Emissions,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,4,Fossil Emissions,Emissions|CO2|Energy|Coal,Coal,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,4,Fossil Emissions,Emissions|CO2|Energy|Gas,Gas,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,4,Fossil Emissions,Emissions|CO2|Energy|Oil,Oil,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,5,Bioenergy-related sequestration,Carbon Sequestration|CCS|Biomass|Energy,BECCS,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,5,Bioenergy-related sequestration,Carbon Sequestration|Chemical Feedstocks|Biomass,Biofeedstock,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,6,Primary Energy Fossil,Primary Energy|Coal,Coal,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,6,Primary Energy Fossil,Primary Energy|Gas,Gas,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,6,Primary Energy Fossil,Primary Energy|Oil,Oil,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,7,Primary Energy Non-Fossil,Primary Energy|Hydro,Hydro,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,7,Primary Energy Non-Fossil,Primary Energy|Biomass,Biomass,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,7,Primary Energy Non-Fossil,Primary Energy|Nuclear,Nuclear,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,7,Primary Energy Non-Fossil,Primary Energy|Wind,Wind,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,7,Primary Energy Non-Fossil,Primary Energy|Geothermal,Geothermal,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
timeseriesplot,7,Primary Energy Non-Fossil,Primary Energy|Ocean,Ocean,0,usa,model_wm,fives_proj,scen_wm,grid,year,value,scenario,variable_rename,model,region,free_y
